num_expediente,status_code,status_message,api_timestamp,total_results,geohash,road_info,city,country_code,category,type,house_number,postcode,suburb,quarter,road,formatted,confidence,latitude_api,longitude_api
2023S000034,200,OK,"Mon, 21 Aug 2023 20:29:20 GMT",1,ezjmuc51zms8kwr9vbt1,Avenida de la Albufera,Madrid,es,government,administrative,,28038,Vallecas,Palomeras Bajas,Avenida de la Albufera,"Madrid, Avenida de la Albufera, 28038 Madrid",9,40.3915653,-3.65401
2023S000001,200,OK,"Mon, 21 Aug 2023 20:31:18 GMT",1,ezjqhs1672bpxkbcncp1,Avenida de Alfonso XIII,Madrid,es,building,building,37,28016,Chamartín,Ciudad Jardín,Avenida de Alfonso XIII,"Avenida de Alfonso XIII, 37, 28016 Madrid, Spain",10,40.4520517,-3.6675772
2023S000002,200,OK,"Mon, 21 Aug 2023 20:31:19 GMT",1,ezjqjgse8k1p5vc9eryh,unnamed road,Madrid,es,government,administrative,,28022,Canillejas,Canillejas,unnamed road,"Madrid, unnamed road, 28022 Madrid",9,40.4495371,-3.6083099
2023S000003,200,OK,"Mon, 21 Aug 2023 20:31:19 GMT",1,ezjmgqm3p2c2d0e5mwbm,Cuesta de San Vicente,Madrid,es,government,administrative,,28008,,Palacio,Cuesta de San Vicente,"Madrid, Cuesta de San Vicente, 28008 Madrid",9,40.4202502,-3.7168426
2023S000004,200,OK,"Mon, 21 Aug 2023 20:31:19 GMT",1,ezjqhn991s1y1rjk1wnm,Plaza de Castilla,Madrid,es,road,road,,28046,Tetuán,Castillejos,Plaza de Castilla,"Plaza de Castilla, 28046 Madrid, Spain",9,40.4655872,-3.6892795
2023S000005,200,OK,"Mon, 21 Aug 2023 20:31:20 GMT",1,ezjmgur35gr2zwjv8bpk,Calle de Atocha,Madrid,es,government,administrative,,28012,Retiro,Cortes,Calle de Atocha,"Madrid, Calle de Atocha, 28012 Madrid",9,40.4092774,-3.6922652
2023S000006,200,OK,"Mon, 21 Aug 2023 20:31:20 GMT",1,ezjq5szqydy7dere59v0,Calle de Lope de Haro,Madrid,es,government,administrative,11,28039,Tetuán,Berruguete,Calle de Lope de Haro,"Madrid, Calle de Lope de Haro, 11, 28039 Madrid",9,40.4569541,-3.7031351
2023S000007,200,OK,"Mon, 21 Aug 2023 20:31:20 GMT",1,ezjmkpx98zhg9bt2bt26,Calle Arroyo de la Bulera,Madrid,es,road,road,,28021,Villaverde,Butarque,Calle Arroyo de la Bulera,"Calle Arroyo de la Bulera, 28021 Madrid, Spain",9,40.3393459,-3.6810679
2023S000008,200,OK,"Mon, 21 Aug 2023 20:31:20 GMT",1,ezjqj8ccb5y7e74gnquv,Calle Castillo de Uclés,Madrid,es,transportation,bus_stop,,28037,San Blas - Canillejas,Simancas,Calle Castillo de Uclés,"Madrid, Emilio Muñoz-Miguel Yuste, Calle Castillo de Uclés, 28037 Madrid",9,40.4341285,-3.6230765
2023S000009,200,OK,"Mon, 21 Aug 2023 20:31:22 GMT",1,ezjmf600tgmsbd94zv80,Calle Carabias,Madrid,es,government,administrative,,28024,Latina,Campamento,Calle Carabias,"Madrid, Calle Carabias, 28024 Madrid",9,40.3968326,-3.7680564
2023S000010,200,OK,"Mon, 21 Aug 2023 20:31:22 GMT",1,ezjqnjmzj9es6yhgvv27,Avenida de Logroño,Madrid,es,government,administrative,,28042,Barajas,,Avenida de Logroño,"Madrid, Avenida de Logroño, 28042 Madrid",9,40.459737,-3.5953784
