num_expediente,statusCode_speed_api,coordinates_speed_api,road_name_speed_api,speedlimit_speed_api,speedlimit_kph_speed_api
2023S000001,200,"{'latitude': 40.45191182917747, 'longitude': -3.667585143647794}",Avenida de Alfonso XIII,31,50
2023S000002,200,"{'latitude': 40.449495676670935, 'longitude': -3.608325220901341}",Calle de Alcalá,31,50
2023S000003,200,"{'latitude': 40.420298390767336, 'longitude': -3.716843532185274}",Cuesta de San Vicente,43,70
2023S000004,200,"{'latitude': 40.4655739632649, 'longitude': -3.689278642289568}",Plaza de Castilla,31,50
2023S000005,200,"{'latitude': 40.40932384521698, 'longitude': -3.6923180803406113}",Plaza del Emperador Carlos V,31,50
2023S000006,200,"{'latitude': 40.45701008654783, 'longitude': -3.703215285582575}",,0,0
2023S000007,200,"{'latitude': 40.33936036276067, 'longitude': -3.6810592219544516}",Calle del Arroyo de la Bulera,31,50
2023S000008,200,"{'latitude': 40.43352166138333, 'longitude': -3.622449946984461}",Calle del Castillo de Uclés,19,30
2023S000009,200,"{'latitude': 40.39684001609793, 'longitude': -3.7680509416870605}",Calle de Carabias,25,40
2023S000010,200,"{'latitude': 40.459750064240126, 'longitude': -3.5953830359311416}",Avenida de Logroño,31,50
2023S000011,200,"{'latitude': 40.41702851523344, 'longitude': -3.623147133441331}",Plaza de Alsacia,0,0
2023S000012,200,"{'latitude': 40.48213147620886, 'longitude': -3.7123140687575686}",Plaza de Cieza,0,0
2023S000015,200,"{'latitude': 40.39061278511968, 'longitude': -3.6949977248425134}",Calle del Maestro Arbós,31,50
2023S000017,200,"{'latitude': 40.42256127424828, 'longitude': -3.611872189197882}",Avenida de Guadalajara,25,40
2023S000018,200,"{'latitude': 40.43836255952223, 'longitude': -3.6789977836578625}",Calle del Príncipe de Vergara,31,50
2023S000019,200,"{'latitude': 40.408938799999135, 'longitude': -3.741594400000041}",,25,40
2023S000020,200,"{'latitude': 40.40288335710931, 'longitude': -3.699482868072481}",Calle de Palos de la Frontera,19,30
2023S000023,200,"{'latitude': 40.396299376108246, 'longitude': -3.653632715609515}",Calle de Benjamín Palencia,31,50
2023S000024,200,"{'latitude': 40.398034072489814, 'longitude': -3.7171869137314286}",Avenida de la Emperatriz Isabel,19,30
2023S000025,200,"{'latitude': 40.48373011615998, 'longitude': -3.6713284140978146}",Nudo de Manoteras,56,90
2023S000026,200,"{'latitude': 40.4171408948863, 'longitude': -3.7131980981802886}",Calle de Bailén,25,40
2023S000027,200,"{'latitude': 40.37275637996454, 'longitude': -3.7419166529442665}",Calle de la Secoya,19,30
2023S000028,200,"{'latitude': 40.388225787540335, 'longitude': -3.6504522768011483}",Calle del Arroyo del Olivar,19,30
2023S000029,200,"{'latitude': 40.487906555820004, 'longitude': -3.6568035597375004}",Plaza del Alcalde Moreno Torres,25,40
2023S000030,200,"{'latitude': 40.430897271060665, 'longitude': -3.6158505185969743}",Avenida de Hellín,19,30
2023S000031,200,"{'latitude': 40.449169064653745, 'longitude': -3.696857785471728}",Calle de Edgar Neville,31,50
2023S000032,200,"{'latitude': 40.504453442333634, 'longitude': -3.708861849543931}",Avenida del Santuario de Valverde,19,30
2023S000033,200,"{'latitude': 40.380494421076385, 'longitude': -3.6918237146575503}",,43,70
2023S000034,200,"{'latitude': 40.39155494510524, 'longitude': -3.6539839901598246}",Avenida de Buenos Aires,31,50
2023S000035,200,"{'latitude': 40.489474422667485, 'longitude': -3.65777141722184}",Avenida de Francisco Pí y Margall,31,50
2023S000036,200,"{'latitude': 40.3910717989711, 'longitude': -3.695472180977852}",Plaza de Legazpi,0,0
2023S000037,200,"{'latitude': 40.44365690693553, 'longitude': -3.609920139469247}",Calle del Néctar,19,30
2023S000038,200,"{'latitude': 40.43044280107143, 'longitude': -3.5972811660222206}",Avenida de Arcentales,0,0
2023S000039,200,"{'latitude': 40.42573588301711, 'longitude': -3.646005819303194}",,19,30
2023S000041,200,"{'latitude': 40.37670149465877, 'longitude': -3.694480229985069}",Calle de Antonio López,31,50
2023S000044,200,"{'latitude': 40.43880858213443, 'longitude': -3.6218999531170004}",Calle de San Romualdo,31,50
2023S000046,200,"{'latitude': 40.36252023104505, 'longitude': -3.756072367348327}",Calle de los Morales,19,30
2023S000047,200,"{'latitude': 40.42013877578921, 'longitude': -3.614076854390679}",Calle de Aquitania,31,50
2023S000048,200,"{'latitude': 40.42156363705741, 'longitude': -3.7137318884413024}",Plaza de España,19,30
2023S000049,200,"{'latitude': 40.3827007, 'longitude': -3.6477531}",Calle del Campo de la Paloma,19,30
2023S000052,200,"{'latitude': 40.3757996935836, 'longitude': -3.6962597996822324}",,19,30
2023S000054,200,"{'latitude': 40.352974399999994, 'longitude': -3.6913494000004725}",,19,30
2023S000055,200,"{'latitude': 40.40887258089825, 'longitude': -3.7416017405465336}",,25,40
2023S000056,200,"{'latitude': 40.43032543624128, 'longitude': -3.714091031775021}",Calle de Serrano Jover,19,30
